analyte,column,row,type,x,y,z
,,,extent,-8850,-111070,0
POS,1,1,spot,-9550,-111770,0
BLANK,2,1,spot,-10050,-111770,0
IL-1alpha,3,1,spot,-10550,-111770,0
IL-1beta,4,1,spot,-11050,-111770,0
IL-2,5,1,spot,-11550,-111770,0
IL-4,6,1,spot,-12050,-111770,0
IL-5,7,1,spot,-12550,-111770,0
BLANK,1,2,spot,-9550,-112270,0
BLANK,2,2,spot,-10050,-112270,0
IL-6,3,2,spot,-10550,-112270,0
IL-8,4,2,spot,-11050,-112270,0
IL-10,5,2,spot,-11550,-112270,0
IL-13,6,2,spot,-12050,-112270,0
IFN-gamma,7,2,spot,-12550,-112270,0
MCP-1,1,3,spot,-9550,-112770,0
TNF-alpha,2,3,spot,-10050,-112770,0
BLANK,3,3,spot,-10550,-112770,0
BLANK,4,3,spot,-11050,-112770,0
BLANK,5,3,spot,-11550,-112770,0
IL-1alpha,6,3,spot,-12050,-112770,0
IL-1beta,7,3,spot,-12550,-112770,0
IL-2,1,4,spot,-9550,-113270,0
IL-4,2,4,spot,-10050,-113270,0
IL-5,3,4,spot,-10550,-113270,0
IL-6,4,4,spot,-11050,-113270,0
IL-8,5,4,spot,-11550,-113270,0
IL-10,6,4,spot,-12050,-113270,0
IL-13,7,4,spot,-12550,-113270,0
IFN-gamma,1,5,spot,-9550,-113770,0
MCP-1,2,5,spot,-10050,-113770,0
TNF-alpha,3,5,spot,-10550,-113770,0
BLANK,4,5,spot,-11050,-113770,0
BLANK,5,5,spot,-11550,-113770,0
BLANK,6,5,spot,-12050,-113770,0
IL-1alpha,7,5,spot,-12550,-113770,0
IL-1beta,1,6,spot,-9550,-114270,0
IL-2,2,6,spot,-10050,-114270,0
IL-4,3,6,spot,-10550,-114270,0
IL-5,4,6,spot,-11050,-114270,0
IL-6,5,6,spot,-11550,-114270,0
IL-8,6,6,spot,-12050,-114270,0
IL-10,7,6,spot,-12550,-114270,0
IL-13,1,7,spot,-9550,-114770,0
IFN-gamma,2,7,spot,-10050,-114770,0
MCP-1,3,7,spot,-10550,-114770,0
TNF-alpha,4,7,spot,-11050,-114770,0
BLANK,5,7,spot,-11550,-114770,0
BLANK,6,7,spot,-12050,-114770,0
BLANK,7,7,spot,-12550,-114770,0
,,,extent,-13250,-115470,0
